A  a
IMPUISSANCE  e~ p h i s a~ s
IMPUISSANT  e~ p h i s a~
IMPUISSANTE  e~ p h i s a~ t
IMPUISSANTES  e~ p h i s a~ t
IMPUNITÉ  e~ p y n i t e
IMPUNÉMENT  e~ p y n e m a~
IMPUR  e~ p y r
IMPURE  e~ p y r
IMPURS  e~ p y r
IMPÉNÉTRABLE  e~ p e n e t r a b l q
IMPÉNÉTRABLES  e~ p e n e t r a b l
IMPÉRATRICE  e~ p e r a t r i s
IMPÉRIAL  e~ p e r j a l
IMPÉRIALE  e~ p e r j a l
IMPÉRIALE  e~ p e r j a l q
IMPÉRIALES  e~ p e r j a l
IMPÉRIAUX  e~ p e r j o
IMPÉRIEUSE  e~ p e r j x z
IMPÉRIEUSEMENT  e~ p e r j x z m a~
IMPÉRIEUSES  e~ p e r j x z
IMPÉRIEUX  e~ p e r j x z
IMPÉRIEUX  e~ p e r j x
INACCOUTUMÉ  i n a k u t y m e
INACCOUTUMÉE  i n a k u t y m e
INACCOUTUMÉES  i n a k u t y m e
INACHEVÉE  i n a s^ x^ v e
INACTIF  i n a k t i f
INALTÉRABLES  i n a l t e r a b l z
INAMOVIBLE  i n a m o^ v i b l q
INAPERÇU  i n a p e^ r s y
INARTICULÉS  i n a r t i k y l e
INATTENDU  i n a t a~ d y
INATTENDUE  i n a t a~ d y
INATTENDUES  i n a t a~ d y
INCALCULABLES  e~ k a l k y l a b l
INCANDESCENT  e~ k a~ d e s a~
INCAPABLE  e~ k a p a b l
INCAPABLE  e~ k a p a b l q
INCAPABLES  e~ k a p a b l q
INCAPACITÉ  e~ k a p a s i t e
INCARNAT  e~ k a r n a
INCENDIAIRE  e~ s a~ d j e^ r
INCENDIÉS  e~ s a~ d j e
INCESSAMMENT  e~ s e s a m a~
INCESSAMMENT  e~ s e s a m a~ t
INCESSANT  e~ s e^ s a~
INCESSANT  e~ s e s a~
INCESSANTE  e~ s e s a~ t
INCESSANTES  e~ s e s a~ t
INCIDENT  e~ s i d a~
INCIDENTS  e~ s i d a~
INCISIF  e~ s i z i f
INCISÉE  e~ s i z e
INCLINA  e~ k l i n a
INCLINANT  e~ k l i n a~
INCLINATION  e~ k l i n a s j o~
INCLINATIONS  e~ k l i n a s j o~
INCLINÉ  e~ k l i n e
INCOGNITO  e~ k o^ n~ i t o
INCOHÉRENT  e~ k o^ e r a~
INCOMMENSURABLE  e~ k o^ m a~ s y r a b l
INCOMMODE  e~ k o^ m o^ d
INCOMMODES  e~ k o^ m o^ d q
INCOMMODÉS  e~ k o^ m o^ d e
INCOMPLÈTE  e~ k o~ p l e^ t
INCOMPLÈTEMENT  e~ k o~ p l e^ t m a~
INCOMPRÉHENSIBLES  e~ k o~ p r e a~ s i b l
INCONDUITE  e~ k o~ d h i t
INCONGRUE  e~ k o~ g r y
INCONNU  e~ k o^ n y
INCONNUE  e~ k o^ n y
INCONNUES  e~ k o^ n y
INCONNUES  e~ k o^ n y z
INCONNUS  e~ k o^ n y
INCONNUS  e~ k o^ n y z
INCONSTANT  e~ k o~ s t a~
INCONVENANCE  e~ k o~ v x^ n a~ s
INCONVENANCES  e~ k o~ v x^ n a~ s
INCONVENANTE  e~ k o~ v x^ n a~ t
INCONVÉNIENT  e~ k o~ v e n j a~
INCORRUPTIBLE  e~ k o^ r y p t i b l q
INCRIMINÉ  e~ k r i m i n e
INCROYABLE  e~ k r w a j a b l
INCROYABLE  e~ k r w a j a b l q
INCRUSTÉ  e~ k r y s t e
INCRUSTÉES  e~ k r y s t e
INCRÉDULITÉ  e~ k r e d y l i t e
INCULTES  e~ k y l t q
INCURABLE  e~ k y r a b l
INCURABLE  e~ k y r a b l q
INCURABLEMENT  e~ k y r a b l x^ m a~
INCURABLES  e~ k y r a b l
INCURIE  e~ k y r i
INDEX  e~ d e^ k s
INDICATIONS  e~ d i k a s j o~
INDICE  e~ d i s
INDICES  e~ d i s
INDICIBLE  e~ d i s i b l
INDICIBLES  e~ d i s i b l
INDICIBLES  e~ d i s i b l q
INDIEN  e~ d j e~
INDIENNE  e~ d j e^ n
INDIENNES  e~ d j e^ n q
INDIENS  e~ d j e~
INDIFFÉREMMENT  e~ d i f e r a m a~
INDIFFÉRENCE  e~ d i f e r a~ s
INDIFFÉRENT  e~ d i f e r a~
INDIFFÉRENT  e~ d i f e r a~ t
INDIFFÉRENTE  e~ d i f e r a~ t
INDIFFÉRENTES  e~ d i f e r a~ t z
INDIFFÉRENTS  e~ d i f e r a~
INDIGESTION  e~ d i z^ e^ s t j o~
INDIGNATION  e~ d i n j a s j o~
INDIGNE  e~ d i n~ q
INDIGNE  e~ d i n j
INDIGNE  e~ d i n j q
INDIGNEMENT  e~ d i n~ x^ m a~
INDIGNEMENT  e~ d i n~ x^ m a~ t
INDIGNES  e~ d i n~ q
INDIGNES  e~ d i n j
INDIGNITÉ  e~ d i n j i t e
INDIGNITÉ  e~ d i n~ i t e
INDIGNÉ  e~ d i n j e
INDIGNÉE  e~ d i n j e
INDIGÈNE  e~ d i z^ e^ n
INDIGÈNES  e~ d i z^ e^ n
INDIQUAIT  e~ d i k e^
INDIQUANT  e~ d i k a~
INDIQUERA  e~ d i k x^ r a
INDIQUÉ  e~ d i k e
INDIRECTE  e~ d i r e^ k t
INDIRECTEMENT  e~ d i r e^ k t x^ m a~
INDISCRET  e~ d i s k r e^
INDISCRETS  e~ d i s k r e^
INDISCRÈTE  e~ d i s k r e^ t
INDISCRÉTION  e~ d i s k r e s j o~
INDISCRÉTIONS  e~ d i s k r e s j o~
INDISPENSABLE  e~ d i s p a~ s a b l q
INDISPENSABLE  e~ d i s p a~ s a b l
INDISPOSITION  e~ d i s p o z i s j o~
INDISPOSÉ  e~ d i s p o z e
INDISSOLUBLE  e~ d i s o^ l y b l
INDISSOLUBLES  e~ d i s o^ l y b l
INDISSOLUBLES  e~ d i s o^ l y b l q
INDIVIDUS  e~ d i v i d y
INDOLENT  e~ d o^ l a~
INDOMPTABLE  e~ d o~ p t a b l
INDUE  e~ d y
INDULGENCE  e~ d y l z^ a~ s
INDULGENT  e~ d y l z^ a~
INDULGENTE  e~ d y l z^ a~ t
INDULGENTS  e~ d y l z^ a~
INDUSTRIE  e~ d y s t r i
INDUSTRIELS  e~ d y s t r i j e^ l
INDUSTRIES  e~ d y s t r i
INDUSTRIEUSES  e~ d y s t r i j x z q
INDÉCENTE  e~ d e s a~ t
INDÉCENTS  e~ d e s a~
INDÉCIS  e~ d e s i
INDÉFINIMENT  e~ d e f i n i m a~
INDÉFINISSABLE  e~ d e f i n i s a b l
INDÉFINISSABLE  e~ d e f i n i s a b l q
INDÉFINISSABLES  e~ d e f i n i s a b l
INDÉLICAT  e~ d e l i k a
INDÉPENDANCE  e~ d e p a~ d a~ s
INDÉPENDANTE  e~ d e p a~ d a~ t
INDÉPENDANTS  e~ d e p a~ d a~
INEFFABLE  i n e f a b l
INEFFABLE  i n e f a b l q
INEFFABLES  i n e f a b l
INEFFAÇABLE  i n e f a s a b l
INERTE  i n e^ r t q
INERTE  i n e^ r t
INERTIE  i n e^ r s i
INESPÉRÉ  i n e^ s p e r e
INESPÉRÉE  i n e^ s p e r e
INESTIMABLE  i n e^ s t i m a b l
INEXORABLE  i n e^ g z o^ r a b l q
INEXORABLE  i n e^ g z o^ r a b l
INEXORABLES  i n e^ g z o^ r a b l
INEXPLICABLE  i n e^ k s p l i k a b l q
INEXPLICABLES  i n e^ k s p l i k a b l
INEXPRIMABLE  i n e^ k s p r i m a b l
INEXTINGUIBLE  i n e^ k s t e~ g i b l q
INEXTRICABLE  i n e^ k s t r i k a b l
INEXTRICABLES  i n e^ k s t r i k a b l q
INFAILLIBLE  e~ f a j i b l
INFAMIE  e~ f a m i
INFECT  e~ f e^ k t
INFECTS  e~ f e^ k t q z
INFERNAL  e~ f e^ r n a l
INFERNALE  e~ f e^ r n a l
INFERNALE  e~ f e^ r n a l q
INFIDÈLE  e~ f i d e^ l q
INFIDÉLITÉ  e~ f i d e l i t e
INFIMES  e~ f i m q
INFINI  e~ f i n i
INFINIE  e~ f i n i
INFINIES  e~ f i n i
INFINIMENT  e~ f i n i m a~
INFINITÉ  e~ f i n i t e
INFIRME  e~ f i r m q
INFIRMES  e~ f i r m q
INFIRMITÉ  e~ f i r m i t e
INFIRMITÉS  e~ f i r m i t e
INFLAMMATOIRE  e~ f l a m a t w a r
INFLEXIBLE  e~ f l e^ k s i b l
INFLEXIBLE  e~ f l e^ k s i b l q
INFLEXIONS  e~ f l e^ k s j o~
INFLIGEANT  e~ f l i z^ a~ t
INFLIGER  e~ f l i z^ e r
INFLIGÉ  e~ f l i z^ e
INFLIGÉE  e~ f l i z^ e
INFLUENCE  e~ f l y a~ s
INFORMAIT  e~ f o^ r m e^
INFORMATIONS  e~ f o^ r m a s j o~
INFORMER  e~ f o^ r m e
INFORMÉ  e~ f o^ r m e
INFORTUNE  e~ f o^ r t y n q
INFORTUNE  e~ f o^ r t y n
INFORTUNES  e~ f o^ r t y n
INFORTUNÉE  e~ f o^ r t y n e
INFORTUNÉES  e~ f o^ r t y n e
INFORTUNÉS  e~ f o^ r t y n e
INFUSER  e~ f y z e
INFUSION  e~ f y z j o~
INFÂME  e~ f a m
INFÂME  e~ f a m q
INFÂMES  e~ f a m
INFÉRIEUR  e~ f e r j x^ r
INFÉRIEURE  e~ f e r j x^ r
INFÉRIEURES  e~ f e r j x^ r
INGRATE  e~ g r a t
INGRATITUDE  e~ g r a t i t y d q
INGRATS  e~ g r a z
INGURGITATION  e~ g y r z^ i t a s j o~
INGÉNIEUSEMENT  e~ z^ e n j x z m a~
INGÉNU  e~ z^ e n y
INGÉNUE  e~ z^ e n y
INGÉNUES  e~ z^ e n y
INGÉNUMENT  e~ z^ e n y m a~
INHABITÉ  i n a b i t e
INHABITÉE  i n a b i t e
INHUMAIN  i n y m e~
INHUMAINS  i n y m e~
INIMAGINABLE  i n i m a z^ i n a b l
INIMITABLE  i n i m i t a b l
INIMITABLE  i n i m i t a b l q
ININTELLIGIBLE  i n e~ t e l i z^ i b l q
ININTELLIGIBLE  i n e~ t e l i z^ i b l
INITIÉE  i n i s j e
INJURES  e~ z^ y r
INJURES  e~ z^ y r z
INJUSTE  e~ z^ y s t
INNOCENCE  i n o^ s a~ s
INNOCENT  i n o^ s a~
INNOCENTE  i n o^ s a~ t
INNOCENTES  i n o^ s a~ t
INNOCENTES  i n o^ s a~ t q
INNOMBRABLE  i n o~ b r a b l
INNOMBRABLE  i n o~ b r a b l q
INNOMBRABLES  i n o~ b r a b l q
INNOMBRABLES  i n o~ b r a b l
INNOVATION  i n o^ v a s j o~
INOCCUPÉ  i n o^ k y p e
INOCCUPÉES  i n o^ k y p e
INOFFENSIF  i n o^ f a~ s i f
INOFFENSIVE  i n o^ f a~ s i v q
INOFFENSIVE  i n o^ f a~ s i v
INONDA  i n o~ d a
INONDAIT  i n o~ d e^ t
INOPPORTUNITÉ  i n o^ p o^ r t y n i t e
INOUÏ  i n w i
INOUÏE  i n w i
INOUÏS  i n w i
INQUIET  e~ k j e^
INQUISITEUR  e~ k i z i t x^ r
INQUIÈTE  e~ k j e^ t
INQUIÉTA  e~ k j e t a
INQUIÉTER  e~ k j e t e
INQUIÉTUDE  e~ k j e t y d
INQUIÉTUDE  e~ k j e t y d q
INQUIÉTUDES  e~ k j e t y d q
INQUIÉTUDES  e~ k j e t y d
INSAISISSABLE  e~ s e z i s a b l q
INSATIABLE  e~ s a s j a b l
INSCRIPTION  e~ s k r i p s j o~
INSCRIRE  e~ s k r i r
INSENSIBLE  e~ s a~ s i b l
INSENSIBLE  e~ s a~ s i b l q
INSENSIBLEMENT  e~ s a~ s i b l x^ m a~
INSENSÉ  e~ s a~ s e
INSENSÉE  e~ s a~ s e
INSENSÉES  e~ s a~ s e
INSIDIEUSES  e~ s i d j x z
INSIGNES  e~ s i n~ q
INSIGNIFIANTE  e~ s i n j i f j a~ t q
INSIGNIFIANTS  e~ s i n j i f j a~
INSINUANTE  e~ s i n y a~ t
INSINUANTES  e~ s i n y a~ t
INSISTA  e~ s i s t a
INSOLEMMENT  e~ s o^ l a m a~
INSOLENCE  e~ s o^ l a~ s
INSOLENCES  e~ s o^ l a~ s
INSOLENT  e~ s o^ l a~
INSOLENTE  e~ s o^ l a~ t
INSOLENTES  e~ s o^ l a~ t z
INSOLENTES  e~ s o^ l a~ t
INSOMNIES  e~ s o^ m n i
INSOUCIANCE  e~ s u s j a~ s
INSOUCIANT  e~ s u s j a~
INSOUCIEUSEMENT  e~ s u s j x z m a~
INSOUSIANCE  e~ s u s j a~ s
INSPECTER  e~ s p e^ k t e
INSPECTION  e~ s p e^ k s j o~
INSPIRAIT  e~ s p i r e^ t
INSPIRAIT  e~ s p i r e^
INSPIRATION  e~ s p i r a s j o~
INSPIRE  e~ s p i r
INSPIRER  e~ s p i r e r
INSPIRER  e~ s p i r e
INSPIRÈRENT  e~ s p i r e^ r t
INSPIRÉ  e~ s p i r e
INSPIRÉE  e~ s p i r e
INSTALLÉ  e~ s t a l e
INSTALLÉS  e~ s t a l e
INSTAMMENT  e~ s t a m a~
INSTANCES  e~ s t a~ s
INSTANT  e~ s t a~
INSTANTANÉMENT  e~ s t a~ t a n e m a~
INSTANTS  e~ s t a~
INSTINCT  e~ s t e~
INSTINCTIVE  e~ s t e~ k t i v
INSTINCTIVEMENT  e~ s t e~ k t i v m a~
INSTINCTS  e~ s t e~
INSTINCTS  e~ s t e~ z
INSTITUTES  e~ s t i t y t
INSTITUTRICE  e~ s t i t y t r i s q
INSTITUTRICE  e~ s t i t y t r i s
INSTRUCTION  e~ s t r y k s j o~
INSTRUCTIONS  e~ s t r y k s j o~
INSTRUIRA  e~ s t r h i r a
INSTRUIRAIT  e~ s t r h i r e^
INSTRUIRE  e~ s t r h i r
INSTRUIS  e~ s t r h i
INSTRUISEZ-EN  e~ s t r h i z e z a~
INSTRUIT  e~ s t r h i
INSTRUITE  e~ s t r h i t
INSTRUITE  e~ s t r h i t q
INSTRUITS  e~ s t r h i
INSTRUITS  e~ s t r h i z
INSTRUMENT  e~ s t r y m a~ t
INSTRUMENT  e~ s t r y m a~
INSTRUMENTS  e~ s t r y m a~
INSTRUMENTS  e~ s t r y m a~ z
INSU  e~ s y
INSULTANTE  e~ s y l t a~ t
INSULTANTS  e~ s y l t a~
INSULTE  e~ s y l t
INSULTE  e~ s y l t q
INSULTER  e~ s y l t e
INSULTES  e~ s y l t q
INSUPPORTABLE  e~ s y p o^ r t a b l
INSUPPORTABLE  e~ s y p o^ r t a b l q
INSUPPORTABLES  e~ s y p o^ r t a b l q
INSURMONTABLE  e~ s y r m o~ t a b l
INSURMONTABLES  e~ s y r m o~ t a b l
INSURRECTIONS  e~ s y r e^ k s j o~
INTACTE  e~ t a k t
INTELLECTUELLES  e~ t e l e^ k t y e^ l
INTELLIGEMMENT  e~ t e l i z^ a m a~
INTELLIGENCE  e~ t e l i z^ a~ s
INTELLIGENCES  e~ t e l i z^ a~ s
INTELLIGENT  e~ t e l i z^ a~
INTELLIGENT  e~ t e l i z^ a~ t
INTELLIGENTE  e~ t e l i z^ a~ t
INTELLIGENTS  e~ t e l i z^ a~
INTEMPÉRANCE  e~ t a~ p e r a~ s
INTENDANT  e~ t a~ d a~
INTENDANTS  e~ t a~ d a~
INTENTION  e~ t a~ s j o~
INTENTIONS  e~ t a~ s j o~
INTERCÉDA  e~ t e^ r s e d a
INTERDIT  e~ t e^ r d i
INTERDITE  e~ t e^ r d i t
INTERLOQUÉ  e~ t e^ r l o^ k e
INTERPELLATIONS  e~ t e^ r p e l a s j o~
INTERPELLÉ  e~ t e^ r p x^ l e
INTERPRÉTA  e~ t e^ r p r e t a
INTERPRÉTANT  e~ t e^ r p r e t a~
INTERPRÉTATIONS  e~ t e^ r p r e t a s j o~
INTERROGATIF  e~ t e^ r o^ g a t i f
INTERROGATOIRES  e~ t e^ r o^ g a t w a r
INTERROGE  e~ t e^ r o^ z^
INTERROGE  e~ t e^ r o^ z^ q
INTERROGEA  e~ t e^ r o^ z^ a
INTERROGEZ  e~ t e^ r o^ z^ e
INTERROGEZ-VOUS  e~ t e^ r o^ z^ e v u z
INTERROGIONS  e~ t e^ r o^ z^ j o~
INTERROGÉ  e~ t e^ r o z^ e
INTERROMPANT  e~ t e^ r o~ p a~
INTERROMPIRENT  e~ t e^ r o~ p i r
INTERROMPIT  e~ t e^ r o~ p i
INTERROMPIT  e~ t e^ r o~ p i t
INTERROMPRE  e~ t e^ r o~ p r q
INTERROMPRE  e~ t e^ r o~ p r
INTERROMPUE  e~ t e^ r o~ p y
INTERROMPUES  e~ t e^ r o~ p y
INTERROMPUS  e~ t e^ r o~ p y
INTERVALLE  e~ t e^ r v a l q
INTERVALLE  e~ t e^ r v a l
INTERVALLES  e~ t e^ r v a l
INTERVENTION  e~ t e^ r v a~ s j o~
INTIME  e~ t i m
INTIME  e~ t i m q
INTIMEMENT  e~ t i m m a~
INTIMEMENT  e~ t i m x^ m a~
INTIMES  e~ t i m
INTIMITÉ  e~ t i m i t e
INTIMITÉS  e~ t i m i t e
INTOLÉRABLE  e~ t o^ l e r a b l
INTOLÉRABLES  e~ t o^ l e r a b l
INTRIGANTE  e~ t r i g a~ t
INTRIGANTS  e~ t r i g a~
INTRIGUE  e~ t r i g q
INTRIGUE  e~ t r i g
INTRIGUES  e~ t r i g
INTRIGUES  e~ t r i g q
INTRIGUÉ  e~ t r i g e
INTRODUIRE  e~ t r o^ d h i r
INTRODUIRONS  e~ t r o^ d h i r o~
INTRODUISANT  e~ t r o d h i z a~
INTRODUIT  e~ t r o^ d h i
INTRODUIT  e~ t r o^ d h i t
INTROUVABLE  e~ t r u v a b l
INTRÉPIDE  e~ t r e p i d
INTRÉPIDEMENT  e~ t r e p i d m a~
INTRÉPIDITÉ  e~ t r e p i d i t e
INTÈGRES  e~ t e^ g r
INTÉRESSA  e~ t e r e^ s a
INTÉRESSAIT  e~ t e r e^ s e^
INTÉRESSANT  e~ t e r e s a~ t
INTÉRESSANT  e~ t e r e s a~
INTÉRESSANT  e~ t e r e^ s a~
INTÉRESSANTE  e~ t e r e s a~ t
INTÉRESSE  e~ t e r e^ s
INTÉRESSER  e~ t e r e s e
INTÉRESSERA  e~ t e r e^ s r a
INTÉRESSERAIT  e~ t e r e^ s x^ r e^
INTÉRESSEZ  e~ t e r e s e
INTÉRESSONS  e~ t e r e^ s o~ z
INTÉRESSÉ  e~ t e r e s e
INTÉRESSÉE  e~ t e r e s e
INTÉRESSÉES  e~ t e r e s e
INTÉRIEUR  e~ t e r j x^ r
INTÉRIEURE  e~ t e r j x^ r
INTÉRIEUREMENT  e~ t e r j x^ r m a~
INTÉRIEUREMENT  e~ t e r j x^ r x^ m a~ t
INTÉRIEUREMENT  e~ t e r j x^ r m a~ t
INTÉRIEURES  e~ t e r j x^ r
INTÉRIEURS  e~ t e r j x^ r
INTÉRIM  e~ t e r i m
INTÉRÊT  e~ t e r e^
INTÉRÊTS  e~ t e r e^
INUSITÉ  i n y z i t e
INUTILE  i n y t i l
INUTILE  i n y t i l q
INUTILES  i n y t i l
INUTILES  i n y t i l q
INUTILITÉS  i n y t i l i t e
INVARIABLEMENT  e~ v a r j a b l x^ m a~
INVASION  e~ v a z j o~
INVENTEURS  e~ v a~ t x^ r
INVENTION  e~ v a~ s j o~
INVENTORIER  e~ v a~ t o^ r j e
INVENTÉ  e~ v a~ t e
INVENTÉS  e~ v a~ t e
INVESTIGATIONS  e~ v e^ s t i g a s j o~
INVINCIBLE  e~ v e~ s i b l
INVINCIBLE  e~ v e~ s i b l q
INVINCIBLEMENT  e~ v e~ s i b l x^ m a~
INVISIBILITÉ  e~ v i z i b i l i t e
INVISIBLE  e~ v i z i b l
INVISIBLEMENT  e~ v i z i b l x^ m a~
INVISIBLES  e~ v i z i b l
INVITANT  e~ v i t a~
INVITATION  e~ v i t a s j o~
INVITE  e~ v i t
INVITER  e~ v i t e
INVITÉ  e~ v i t e
INVITÉE  e~ v i t e
INVITÉS  e~ v i t e
INVOCATION  e~ v o^ k a s j o~
INVOLONTAIRE  e~ v o^ l o~ t e^ r
INVOLONTAIREMENT  e~ v o^ l o~ t e^ r m a~
INVOQUER  e~ v o^ k e
INVOQUÉE  e~ v o^ k e
INÉBRANLABLE  i n e b r a~ l a b l q
INÉGALE  i n e g a l q
INÉGALE  i n e g a l
INÉGALEMENT  i n e g a l m a~
INÉGALES  i n e g a l q
INÉPUISABLE  i n e p h i z a b l q
INÉPUISABLE  i n e p h i z a b l
IRA  i r a
IRAIT  i r e^
IRAIT  i r e^ t
IRAIT-IL  i r e^ t i l
IRAS  i r a
IREZ  i r e
IREZ  i r e z
IRISÉE  i r i z e
IRONIE  i r o^ n i
IRONIQUE  i r o^ n i k
IRONIQUEMENT  i r o^ n i k m a~
IRONS  i r o^ z
IRONS  i r o~
IRONS  i r o~ z
IRONS  i r o^
IRONS-NOUS  i r o^ n u
IRONT-ILS  i r o~ t i l
IRRITABLE  i r i t a b l
IRRITATION  i r i t a s j o~
IRRITER  i r i t e
IRRITÉ  i r i t e
IRRITÉE  i r i t e
IRRITÉS  i r i t e
IRRÉCONCILIABLES  i r e k o~ s i l j a b l
IRRÉCUSABLE  i r e k y z a b l
IRRÉFLÉCHI  i r e f l e s^ i
IRRÉFLÉCHIE  i r e f l e s^ i
IRRÉGULARITÉ  i r e g y l a r i t e
IRRÉPARABLE  i r e p a r a b l
IRRÉPARABLE  i r e p a r a b l q
IRRÉPROCHABLE  i r e p r o^ s^ a b l q
IRRÉPROCHABLE  i r e p r o^ s^ a b l
IRRÉSISTIBLE  i r e z i s t i b l
IRRÉSISTIBLE  i r e z i s t i b l q
IRRÉSOLU  i r e z o^ l y
IRRÉVOCABLE  i r e v o^ k a b l
IRRÉVÉRENCIEUSEMENT  i r e v e r a~ s j x z m a~
ISCARIOTE  i s k a r j o^ t
ISOLEMENT  i z o^ l m a~
ISOLÉ  i z o^ l e
ISOLÉE  i z o^ l e
ISOLÉES  i z o^ l e
ISSU  i s y
ISSUE  i s y
ISSUS  i s y
ITALIE  i t a l i
ITALIEN  i t a l j e~
IVOIRES  i v w a r
IVRE  i v r
IVRE  i v r q
IVRES  i v r
IVRESSE  i v r e^ s
J'ACCEPTAIS  z^ a k s e^ p t e^
J'ACCEPTE  z^ a k s e^ p t
J'ACCEPTE  z^ a k s e^ p t q
J'ACCEPTERAI  z^ a k s e^ p t x^ r e
J'ACCOURS  z^ a k u r z
J'ACCOURUS  z^ a k u r y z
J'ACCUSE  z^ a k y z
J'ACHÈTE  z^ a s^ e^ t
J'ACHÈTERAI  z^ a s^ e^ t x^ r e
J'ADMIRE  z^ a d m i r
J'ADORE  z^ a d o^ r
J'ADRESSERAI  z^ a d r e^ s x^ r e
J'AI  z^ e
J'AIE  z^ e^
J'AILLE  z^ a j
J'AIMAIS  z^ e^ m e^
J'AIMAIS  z^ e^ m e^ z
J'AIME  z^ e^ m
J'AIME  z^ e^ m q
J'AIMERAIS  z^ e^ m r e^ z
J'AIMERAIS  z^ e^ m r e^
J'AIMERAIS  z^ e^ m x^ r e^
J'ALLAI  z^ a l e
J'ALLAIS  z^ a l e^
J'ALLAIS  z^ a l e^ z
J'AMBITIONNE  z^ a~ b i s j o^ n
J'AMBITIONNERAIS  z^ a~ b i s j o^ n x^ r e^
J'APERÇOIS  z^ a p e^ r s w a
J'APPELAI  z^ a p x^ l e
J'APPELAIS  z^ a p x^ l e^
J'APPELLE  z^ a p e^ l
J'APPORTE  z^ a p o^ r t
J'APPORTE  z^ a p o^ r t q
J'APPRENNE  z^ a p r e^ n
J'APPROCHAI  z^ a p r o^ s^ e
J'APPRÉCIE  z^ a p r e s i
J'ARRIVE  z^ a r i v
J'ARRIVERAI  z^ a r i v x^ r e
J'ASSURERAI  z^ a s y r x^ r e
J'ATTACHAIS  z^ a t a s^ e^
J'ATTENDAIS  z^ a t a~ d e^ z
J'ATTENDIS  z^ a t a~ d i
J'ATTENDRAI  z^ a t a~ d r e
J'ATTENDS  z^ a t a~
J'ATTRAPE  z^ a t r a p
J'AURAI  z^ o^ r e
J'AURAIS  z^ o^ r e^
J'AURAIS  z^ o^ r e^ z
J'AVAIS  z^ a v e^
J'AVAIS  z^ a v e^ z
J'AVOUE  z^ a v u
J'EMMÈNERAI  z^ a~ m e^ n x^ r e
J'EMPORTAIS  z^ a~ p o^ r t e^
J'EMPORTERAI  z^ a~ p o^ r t x^ r e
J'EN  z^ a~
J'EN  z^ a~ n
J'ENDURAIS  z^ a~ d y r e^ z
J'ENDURE  z^ a~ d y r
J'ENFOURNE  z^ a~ f u r n
J'ENTAILLE  z^ a~ t a j
J'ENTENDAIS  z^ a~ t a~ d e^
J'ENTENDIS  z^ a~ t a~ d i
J'ENTENDRAI  z^ a~ t a~ d r e
J'ENTENDS  z^ a~ t a~
J'ENTENDS  z^ a~ t a~ z
J'ENTRAI  z^ a~ t r e
J'ENTRAIS  z^ a~ t r e^
J'ENTRAÎNAI  z^ a~ t r e n e^
J'ENTRE  z^ a~ t r x^
J'ENTRE  z^ a~ t r
J'ENTREVOIS  z^ a~ t r x^ v w a
J'ENVELOPPAI  z^ a~ v x^ l o^ p e
J'ENVERRAI  z^ a~ v e^ r e^
J'ENVERRAI  z^ a~ v e r e
J'ENVERRAIS  z^ a~ v e r e^ z
J'ESPÈRE  z^ e^ s p e^ r
J'ESPÉRAIS  z^ e^ s p e r e^
J'EUS  z^ y
J'EUS  z^ y z
J'EXALTAI  z^ e^ g z a l t e
J'EXCEPTERAI  z^ e^ k s e^ p t x^ r e
J'EXIGE  z^ e^ g z i z^
J'IGNORAIS  z^ i n j o^ r e^
J'IGNORAIS  z^ i n~ o^ r e^
J'IGNORE  z^ i n j o^ r
J'INSISTAIS  z^ e~ s i s t e^
J'INTERROGE  z^ e~ t e^ r o^ z^
J'IRAI  z^ i r e
J'IRAIS  z^ i r e^
J'OBLIGE  z^ o^ b l i z^
J'OBÉIRAI  z^ o^ b e i r e
J'OBÉIS  z^ o^ b e i
J'OFFRAIS  z^ o^ f r e^
J'OPPOSE  z^ o^ p o z
J'OSE  z^ o z
J'OSERAIS  z^ o z x^ r e^
J'OUBLIAIS  z^ u b l i j e^
J'OUBLIAIS  z^ u b l i j e^ z
J'OUBLIE  z^ u b l i
J'OUVRIRAI  z^ u v r i r e
J'UTILISE  z^ y t i l i z
J'Y  z^ i
J'ÉCHAPPERAIS  z^ e s^ a p x^ r e^ z
J'ÉCONOMISERAI  z^ e k o^ n o^ m i z r e
J'ÉCOUTAI  z^ e k u t e
J'ÉCOUTAIS  z^ e k u t e^
J'ÉCOUTE  z^ e k u t
J'ÉCOUTERAI  z^ e k u t r e
J'ÉCRIRAI  z^ e k r i r e
J'ÉCRIVAIS  z^ e k r i v e^ z
J'ÉGORGEAIS  z^ e g o^ r z^ e^ z
J'ÉPOUSERAI  z^ e p u z x^ r e
J'ÉPROUVAIS  z^ e p r u v e^
J'ÉPROUVE  z^ e p r u v
J'ÉTAIS  z^ e t e^ z
J'ÉTAIS  z^ e t e^
J'ÉTOUFFAI  z^ e t u f e
J'ÉTOURDIRAI  z^ e t u r d i r e
J'ÔTE  z^ o t
JACASSAIENT  z^ a k a s e^
JACQUES  z^ a k
JADE  z^ a d q
JADES  z^ a d q
JADIS  z^ a d i s
JAILLISSENT  z^ a j i s t
JAILLIT  z^ a j i t
JAIS  z^ e^
JALOUSE  z^ a l u z q
JALOUSE  z^ a l u z
JALOUSIE  z^ a l u z i
JALOUX  z^ a l u
JAMAIS  z^ a m e^ z
JAMAIS  z^ a m e^
JAMBE  z^ a~ b
JAMBE  z^ a~ b q
JAMBES  z^ a~ b q
JAMBES  z^ a~ b z
